seed,ade_2s,ade_4s,ade_6s,fde,miss_rate,offroad,offroad_rate,wall_s
22,0.6123963187363511,1.4873106848626252,2.6454951256485417,6.115449446950147,0.7333333333333333,,,3.4
23,0.5933850394458979,1.448063306763038,2.5696491241762165,5.922260722560866,0.7733333333333333,,,1.8
24,0.6152198562297031,1.5178678946729798,2.704505936804553,6.241265489401996,0.7533333333333333,,,1.7
25,0.61449821520421,1.5096888935791584,2.7032882617328355,6.284687809063929,0.78,,,1.8
26,0.6202277861816122,1.5230056987648177,2.723091945096994,6.30627488611156,0.76,,,1.7
27,0.606805179770174,1.4944280479451229,2.6807530862738314,6.233047522646122,0.76,,,1.7
28,0.5975478122940782,1.461806750588313,2.613553578364804,6.0607259049107025,0.7866666666666666,,,1.7
29,0.6032880065574668,1.4866710379842603,2.656441675914203,6.145122161898171,0.7666666666666667,,,1.8
30,0.5978055400593228,1.4653972401760806,2.609014094943592,6.016497441062256,0.7533333333333333,,,1.7
31,0.6123828432744929,1.512800677400173,2.704862499366594,6.267123287415433,0.8,,,1.7
32,0.6239070443755869,1.5490508807582202,2.774519951506707,6.43843745595796,0.8,,,1.8
33,0.6209609672655311,1.5198892148849306,2.7072488094705274,6.247277915570876,0.7733333333333333,,,1.7
34,0.6115222789054625,1.499609489094402,2.667510475547464,6.1470986506357805,0.7733333333333333,,,1.7
35,0.6151133209450955,1.4944294024694762,2.6609740694535464,6.146896543414548,0.8066666666666666,,,1.7
36,0.6113590674693828,1.4929513646366344,2.658563495419409,6.1566695336809,0.8066666666666666,,,1.8
37,0.6153358393365908,1.519013597172009,2.7247856224838465,6.343623863582399,0.7533333333333333,,,1.7
38,0.6189387849250003,1.5214363913236255,2.70056985658702,6.205630864878332,0.76,,,1.7
39,0.6100633627695415,1.4940353849156829,2.6643784954969836,6.16892200287728,0.7666666666666667,,,1.8
40,0.6247144750638427,1.5376842205776757,2.7286201105572423,6.265642706959808,0.7666666666666667,,,1.7
41,0.6138046116870658,1.5038714361067818,2.6715516467208005,6.14423464657931,0.7466666666666667,,,1.7
42,0.6162757605438856,1.506709991862648,2.6825494819037377,6.1873029642457915,0.7866666666666666,,,1.7
43,0.6146031354967515,1.5115913216742698,2.7051197665627083,6.285050668259604,0.7933333333333333,,,1.8
44,0.6098878719836581,1.500513148940471,2.678494496875723,6.193591781868383,0.7933333333333333,,,1.7
45,0.6047678330574419,1.4802605788288,2.658346181652978,6.200106464423142,0.78,,,1.8
46,0.6071280645565222,1.4957989397446847,2.684010000885723,6.230678131022653,0.7733333333333333,,,1.8
47,0.6311003962155018,1.5480236195390749,2.7595283487952385,6.380794552969105,0.7466666666666667,,,1.7
48,0.6058409780950467,1.4797777526506855,2.639271122520576,6.130540278714392,0.7666666666666667,,,1.7
49,0.6125785372934975,1.5015817370939601,2.6727391327260146,6.157995755003608,0.8066666666666666,,,1.7
50,0.61375751309451,1.5043418973706877,2.685925673762995,6.209667558715799,0.8066666666666666,,,1.7
51,0.6166896801849595,1.5106952078257867,2.7026245746437105,6.275080133875512,0.78,,,1.7
52,0.6229904641062768,1.5050067024220366,2.6555982567894265,6.105565579915918,0.7466666666666667,,,1.6
53,0.6158778796241214,1.5080892931344476,2.692166528094258,6.238058685387376,0.78,,,1.9
54,0.6259465784783875,1.534280412375241,2.7494585704442596,6.398448728463323,0.7866666666666666,,,1.9
55,0.621431175478344,1.520478065331686,2.713484168931983,6.279426544342571,0.74,,,2.0
56,0.6105371039771985,1.4918486420428614,2.6564220722586054,6.156264787480251,0.7333333333333333,,,2.1
57,0.616339938514851,1.5036216938450335,2.6808034340524554,6.209325352565056,0.7533333333333333,,,1.9
58,0.5926782042143264,1.4481649519212638,2.5901165699219493,6.009378646400085,0.7733333333333333,,,2.0
59,0.6170550108302183,1.5161566797616117,2.698296121288483,6.22882405042633,0.7466666666666667,,,1.9
60,0.609887748411872,1.4941365959277593,2.647751586219838,6.075171719528346,0.7733333333333333,,,1.9
61,0.6144520698654338,1.5081824613024901,2.686568762056192,6.215296168139063,0.7533333333333333,,,2.0
62,0.610338100380468,1.4987687069552336,2.6675301854290225,6.15905778824693,0.8,,,2.1
63,0.619798515524172,1.511558770807842,2.673518859570041,6.132840128666854,0.74,,,2.4
64,0.6065679278639877,1.4761400364970405,2.6488749297851752,6.159989998933513,0.7866666666666666,,,2.2
65,0.6073838809652944,1.4936015849869408,2.6811307232773456,6.239681296777208,0.74,,,3.2
66,0.6194007937592035,1.5156217781338592,2.693566608934725,6.212015290900526,0.7733333333333333,,,2.0
67,0.6169438692801803,1.5114960327300475,2.6749221807731396,6.141554025727598,0.7533333333333333,,,1.7
68,0.6067954868478104,1.472284659488013,2.624912728626146,6.0825870096249215,0.76,,,1.8
69,0.6022760084913387,1.468813876824714,2.620418327538182,6.068713980413321,0.7933333333333333,,,1.8
70,0.6230980233375001,1.522650502183948,2.7121724202471595,6.261444167829581,0.7666666666666667,,,1.8
71,0.6128839946128621,1.5142758890766852,2.700462057509291,6.239626456320141,0.76,,,1.7
72,0.6034496195437032,1.4649438208853893,2.6110373992852316,6.050031647033538,0.78,,,1.7
73,0.601855566217849,1.4680496538815122,2.6109862127659684,6.036445394460229,0.7266666666666667,,,1.7
74,0.6177113092462162,1.5230964218333538,2.7338246679145035,6.361594909917515,0.8,,,1.8
75,0.6133281292212809,1.4963913958073796,2.653227940432553,6.104432078010464,0.7733333333333333,,,1.7
76,0.6068301860187595,1.4927771220520296,2.6662258363502382,6.1889428880835125,0.7666666666666667,,,1.8
77,0.6109782658321404,1.4827400219733469,2.647010237504119,6.127550785674429,0.7533333333333333,,,2.1
78,0.6019112214689778,1.467454621115036,2.619493681713215,6.059911189505434,0.7666666666666667,,,1.8
79,0.6280154050750071,1.5497164317030665,2.775377029511427,6.4415047615478755,0.7866666666666666,,,1.8
80,0.6162541233695892,1.5194430695167045,2.717220579064072,6.303957252001995,0.7466666666666667,,,1.7
81,0.613256037355692,1.5116727826176168,2.705593600135966,6.2814329084463685,0.7533333333333333,,,1.9
82,0.5952158643056544,1.4559874793580867,2.598202921598773,6.012217971429949,0.7666666666666667,,,1.7
83,0.6156320171274047,1.5051948511403757,2.696625732333973,6.259657883830609,0.7933333333333333,,,1.8
84,0.6048082129969584,1.4765776859704092,2.620363069579106,6.0250318643334735,0.7866666666666666,,,1.8
85,0.6205107740306711,1.536397918239922,2.753257093288073,6.382984165275303,0.7666666666666667,,,1.8
86,0.6194639242218434,1.5208849776119762,2.710253985691826,6.252102440168685,0.7933333333333333,,,1.8
87,0.6106183950252815,1.4847295095558755,2.6590924835839505,6.185549287783912,0.74,,,1.8
88,0.6225753779249978,1.517585758194425,2.687844794674,6.181031168109742,0.7933333333333333,,,1.8
89,0.6052821660835654,1.465696247671782,2.6054099015169467,6.016295981645534,0.7333333333333333,,,1.7
90,0.6017960669146217,1.4778755092639981,2.630344811098503,6.067322862008395,0.72,,,1.9
91,0.6091358107093026,1.4754137620520476,2.631757343734907,6.106342613751203,0.7333333333333333,,,1.6
92,0.6084811649433358,1.4903405595631922,2.6593231699749333,6.1419912669754755,0.7666666666666667,,,1.7
93,0.6114535283950975,1.5056075605481753,2.697485562904943,6.252226759927579,0.78,,,1.7
94,0.6210020637847534,1.5177721094852639,2.7062093788068617,6.2721250008440395,0.76,,,1.7
95,0.6173389777298062,1.5287936306341112,2.746248363392832,6.39625941252378,0.7533333333333333,,,1.7
96,0.628247015812543,1.5379321019282728,2.7439554888021886,6.358806060185511,0.76,,,1.7
97,0.6052825030707353,1.4848213282904124,2.6401764177915017,6.078437776318517,0.74,,,1.7
